timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619430987010,1242,Kodilla.pl main page,200,OK,Kodilla users 1-19,text,true,,95931,349,20,20,https://kodilla.com/pl,105,0,52
1619430987010,105,Kodilla.pl main page-0,301,Moved Permanently,Kodilla users 1-19,text,true,,331,117,20,20,http://www.kodilla.com/,105,0,52
1619430987116,658,Kodilla.pl main page-1,301,Moved Permanently,Kodilla users 1-19,text,true,,1393,117,20,20,https://kodilla.com:443/,657,0,438
1619430987775,477,Kodilla.pl main page-2,200,OK,Kodilla users 1-19,text,true,,94207,115,20,20,https://kodilla.com/pl,372,0,179
1619430986959,1337,Kodilla.pl main page,200,OK,Kodilla users 1-18,text,true,,95911,349,20,20,https://kodilla.com/pl,113,0,54
1619430986959,113,Kodilla.pl main page-0,301,Moved Permanently,Kodilla users 1-18,text,true,,331,117,20,20,http://www.kodilla.com/,113,0,54
1619430987073,697,Kodilla.pl main page-1,301,Moved Permanently,Kodilla users 1-18,text,true,,1393,117,20,20,https://kodilla.com:443/,696,0,481
1619430987771,525,Kodilla.pl main page-2,200,OK,Kodilla users 1-18,text,true,,94187,115,20,20,https://kodilla.com/pl,422,0,203
1619430986709,1592,Kodilla.pl main page,200,OK,Kodilla users 1-13,text,true,,95921,349,20,20,https://kodilla.com/pl,103,0,52
1619430986709,104,Kodilla.pl main page-0,301,Moved Permanently,Kodilla users 1-13,text,true,,331,117,20,20,http://www.kodilla.com/,103,0,52
1619430986813,963,Kodilla.pl main page-1,301,Moved Permanently,Kodilla users 1-13,text,true,,1393,117,20,20,https://kodilla.com:443/,963,0,737
1619430987777,524,Kodilla.pl main page-2,200,OK,Kodilla users 1-13,text,true,,94197,115,20,20,https://kodilla.com/pl,416,0,189
1619430986512,1816,Kodilla.pl main page,200,OK,Kodilla users 1-9,text,true,,95940,349,20,20,https://kodilla.com/pl,104,0,52
1619430986512,104,Kodilla.pl main page-0,301,Moved Permanently,Kodilla users 1-9,text,true,,331,117,20,20,http://www.kodilla.com/,104,0,52
1619430986617,1166,Kodilla.pl main page-1,301,Moved Permanently,Kodilla users 1-9,text,true,,1393,117,20,20,https://kodilla.com:443/,1166,0,934
1619430987784,544,Kodilla.pl main page-2,200,OK,Kodilla users 1-9,text,true,,94216,115,20,20,https://kodilla.com/pl,415,0,190
1619430986411,1917,Kodilla.pl main page,200,OK,Kodilla users 1-7,text,true,,95928,349,20,20,https://kodilla.com/pl,102,0,51
1619430986411,102,Kodilla.pl main page-0,301,Moved Permanently,Kodilla users 1-7,text,true,,331,117,20,20,http://www.kodilla.com/,102,0,51
1619430986514,1278,Kodilla.pl main page-1,301,Moved Permanently,Kodilla users 1-7,text,true,,1395,117,20,20,https://kodilla.com:443/,1278,0,1038
1619430987793,535,Kodilla.pl main page-2,200,OK,Kodilla users 1-7,text,true,,94202,115,20,20,https://kodilla.com/pl,406,0,181
1619430988329,328,Kodilla.pl main page,200,OK,Kodilla users 1-7,text,true,,95915,349,20,20,https://kodilla.com/pl,72,0,0
1619430988329,73,Kodilla.pl main page-0,301,Moved Permanently,Kodilla users 1-7,text,true,,331,117,20,20,http://www.kodilla.com/,72,0,0
1619430988402,126,Kodilla.pl main page-1,301,Moved Permanently,Kodilla users 1-7,text,true,,1391,117,20,20,https://kodilla.com:443/,125,0,0
1619430988528,129,Kodilla.pl main page-2,200,OK,Kodilla users 1-7,text,true,,94193,115,20,20,https://kodilla.com/pl,121,0,0
1619430986281,2745,Kodilla.pl main page,200,OK,Kodilla users 1-3,text,true,,95914,349,20,20,https://kodilla.com/pl,194,0,131
1619430986281,198,Kodilla.pl main page-0,301,Moved Permanently,Kodilla users 1-3,text,true,,331,117,20,20,http://www.kodilla.com/,194,0,131
1619430986483,2045,Kodilla.pl main page-1,301,Moved Permanently,Kodilla users 1-3,text,true,,1395,117,20,20,https://kodilla.com:443/,2044,0,1068
1619430988529,497,Kodilla.pl main page-2,200,OK,Kodilla users 1-3,text,true,,94188,115,20,20,https://kodilla.com/pl,397,0,168
1619430986362,2806,Kodilla.pl main page,200,OK,Kodilla users 1-6,text,true,,95881,349,20,20,https://kodilla.com/pl,113,0,52
1619430986663,2505,Kodilla.pl main page,200,OK,Kodilla users 1-12,text,true,,95924,349,20,20,https://kodilla.com/pl,103,0,51
1619430986362,117,Kodilla.pl main page-0,301,Moved Permanently,Kodilla users 1-6,text,true,,331,117,20,20,http://www.kodilla.com/,113,0,52
1619430986663,103,Kodilla.pl main page-0,301,Moved Permanently,Kodilla users 1-12,text,true,,331,117,20,20,http://www.kodilla.com/,103,0,51
1619430986767,1813,Kodilla.pl main page-1,301,Moved Permanently,Kodilla users 1-12,text,true,,1393,117,20,20,https://kodilla.com:443/,1813,0,785
1619430986483,2097,Kodilla.pl main page-1,301,Moved Permanently,Kodilla users 1-6,text,true,,1391,117,20,20,https://kodilla.com:443/,2097,0,1067
1619430988581,587,Kodilla.pl main page-2,200,OK,Kodilla users 1-12,text,true,,94200,115,20,20,https://kodilla.com/pl,471,0,174
1619430988581,587,Kodilla.pl main page-2,200,OK,Kodilla users 1-6,text,true,,94159,115,20,20,https://kodilla.com/pl,518,0,194
1619430986562,2649,Kodilla.pl main page,200,OK,Kodilla users 1-10,text,true,,95897,349,20,20,https://kodilla.com/pl,105,0,54
1619430986860,2351,Kodilla.pl main page,200,OK,Kodilla users 1-16,text,true,,95885,349,20,20,https://kodilla.com/pl,105,0,52
1619430986562,105,Kodilla.pl main page-0,301,Moved Permanently,Kodilla users 1-10,text,true,,331,117,20,20,http://www.kodilla.com/,105,0,54
1619430986860,105,Kodilla.pl main page-0,301,Moved Permanently,Kodilla users 1-16,text,true,,331,117,20,20,http://www.kodilla.com/,105,0,52
1619430986668,1912,Kodilla.pl main page-1,301,Moved Permanently,Kodilla users 1-10,text,true,,1391,117,20,20,https://kodilla.com:443/,1912,0,883
1619430986966,1648,Kodilla.pl main page-1,301,Moved Permanently,Kodilla users 1-16,text,true,,1391,117,20,20,https://kodilla.com:443/,1623,0,588
1619430988581,630,Kodilla.pl main page-2,200,OK,Kodilla users 1-10,text,true,,94175,115,20,20,https://kodilla.com/pl,472,0,220
1619430988615,596,Kodilla.pl main page-2,200,OK,Kodilla users 1-16,text,true,,94163,115,20,20,https://kodilla.com/pl,492,0,186
1619430989169,376,Kodilla.pl main page,200,OK,Kodilla users 1-12,text,true,,95871,349,20,20,https://kodilla.com/pl,78,0,0
1619430989169,78,Kodilla.pl main page-0,301,Moved Permanently,Kodilla users 1-12,text,true,,331,117,20,20,http://www.kodilla.com/,78,0,0
1619430989248,108,Kodilla.pl main page-1,301,Moved Permanently,Kodilla users 1-12,text,true,,1393,117,20,20,https://kodilla.com:443/,108,0,0
